#{"t_start": 1763189594.8647904, "env_id": "None"}
r,l,t
-146.756266,100,2.102185
-100.844737,100,2.275335
-147.922726,100,2.447536
-132.812812,100,2.622095
-122.208353,100,2.809708
-87.831104,100,2.977518
-127.970679,100,3.155225
-130.474145,100,3.333247
-181.878923,100,3.499183
-97.830113,100,3.670055
-202.305169,100,3.834842
-137.825793,100,4.019921
-120.3957,100,4.199675
-206.872932,100,4.370731
-175.603506,100,4.537501
-154.66811,100,4.708197
-143.226822,100,4.873747
-103.47199,100,5.037758
-107.038586,100,5.206531
-124.762051,100,5.368374
-185.301722,100,7.967706
-173.816,100,8.151207
-152.82446,100,8.348068
-131.917041,100,8.539373
-179.456954,100,8.723683
-214.333023,100,8.910992
-158.857005,100,9.099655
-128.885677,100,9.292109
-130.506019,100,9.483761
-153.44568,100,9.673716
-98.934544,97,9.859738
-161.984861,100,10.052944
-93.890062,100,10.281344
-112.227098,100,10.47744
-176.552492,100,10.677048
-97.033635,100,10.874017
-188.126829,100,11.089819
-89.417874,100,11.308984
-143.846049,100,11.524736
-105.373849,100,11.736705
-168.776377,100,14.534104
-79.719414,100,14.745782
-103.365733,100,14.959119
-70.292562,97,15.167072
-107.16835,100,15.383129
-128.977067,100,15.597637
-135.530983,100,15.81484
-75.459658,100,16.028599
-76.730853,100,16.250822
-59.163968,100,16.489169
-123.817138,100,16.721536
-106.256556,100,16.929569
-75.96796,100,17.126649
-86.407109,100,17.339227
-150.306808,100,17.545739
-54.435516,100,17.758238
-95.260046,100,17.973768
-29.680299,45,18.065382
-106.056643,100,18.272188
-186.444674,100,18.485271
-96.228401,100,18.704335
-112.705483,100,18.919957
