episode,reward,reward_ma
1,33.0,33.0
2,13.0,23.0
3,14.0,20.0
4,19.0,19.75
5,23.0,20.4
6,12.0,19.0
7,16.0,18.571428571428573
8,14.0,18.0
9,34.0,19.77777777777778
10,18.0,19.6
11,13.0,19.0
12,10.0,18.25
13,17.0,18.153846153846153
14,22.0,18.428571428571427
15,12.0,18.0
16,21.0,18.1875
17,12.0,17.823529411764707
18,14.0,17.61111111111111
19,23.0,17.894736842105264
20,16.0,17.8
21,17.0,17.0
22,27.0,17.7
23,34.0,18.7
24,24.0,18.95
25,20.0,18.8
26,28.0,19.6
27,23.0,19.95
28,13.0,19.9
29,15.0,18.95
30,21.0,19.1
31,21.0,19.5
32,31.0,20.55
33,11.0,20.25
34,17.0,20.0
35,15.0,20.15
36,82.0,23.2
37,10.0,23.1
38,10.0,22.9
39,9.0,22.2
40,56.0,24.2
41,36.0,25.15
42,24.0,25.0
43,18.0,24.2
44,21.0,24.05
45,38.0,24.95
46,11.0,24.1
47,46.0,25.25
48,17.0,25.45
49,24.0,25.9
50,11.0,25.4
51,17.0,25.2
52,27.0,25.0
53,13.0,25.1
54,22.0,25.35
55,11.0,25.15
56,26.0,22.35
57,80.0,25.85
58,19.0,26.3
59,16.0,26.65
60,23.0,25.0
61,16.0,24.0
62,13.0,23.45
63,18.0,23.45
64,21.0,23.45
65,15.0,22.3
66,25.0,23.0
67,20.0,21.7
68,12.0,21.45
69,29.0,21.7
70,31.0,22.7
71,34.0,23.55
72,18.0,23.1
73,11.0,23.0
74,15.0,22.65
75,12.0,22.7
76,11.0,21.95
77,10.0,18.45
78,11.0,18.05
79,39.0,19.2
80,21.0,19.1
81,18.0,19.2
82,28.0,19.95
83,10.0,19.55
84,20.0,19.5
85,12.0,19.35
86,11.0,18.65
87,48.0,20.05
88,33.0,21.1
89,21.0,20.7
90,12.0,19.75
91,20.0,19.05
92,28.0,19.55
93,18.0,19.9
94,11.0,19.7
95,23.0,20.25
96,83.0,23.85
97,20.0,24.35
98,16.0,24.6
99,16.0,23.45
100,15.0,23.15
101,32.0,23.85
102,48.0,24.85
103,15.0,25.1
104,20.0,25.1
105,16.0,25.3
106,11.0,25.3
107,48.0,25.3
108,23.0,24.8
109,32.0,25.35
110,20.0,25.75
111,20.0,25.75
112,15.0,25.1
113,16.0,25.0
114,45.0,26.7
115,30.0,27.05
116,15.0,23.65
117,25.0,23.9
118,33.0,24.75
119,22.0,25.05
120,17.0,25.15
