#{"t_start": 1759152640.693453, "env_id": "CartPole-v1"}
r,l,t
33.0,33,2.045269
13.0,13,2.070456
14.0,14,2.097266
19.0,19,2.140416
23.0,23,2.184321
12.0,12,2.205777
16.0,16,2.23665
14.0,14,2.262747
34.0,34,2.335388
18.0,18,2.369461
13.0,13,2.393061
10.0,10,2.410453
17.0,17,2.443235
22.0,22,2.485209
12.0,12,2.514042
21.0,21,2.558224
12.0,12,2.581009
14.0,14,2.616086
23.0,23,2.680895
16.0,16,2.711596
17.0,17,2.744338
27.0,27,2.796533
34.0,34,2.860307
24.0,24,2.903785
20.0,20,2.943552
28.0,28,2.994227
23.0,23,3.037992
13.0,13,3.061419
15.0,15,3.088732
21.0,21,3.127917
21.0,21,3.16648
31.0,31,3.22531
11.0,11,3.247345
17.0,17,3.280188
15.0,15,3.307668
82.0,82,3.463803
10.0,10,3.483132
10.0,10,3.500996
9.0,9,3.521912
56.0,56,3.627331
36.0,36,3.695336
24.0,24,3.738658
18.0,18,3.771019
21.0,21,3.810108
38.0,38,3.882304
11.0,11,3.902309
46.0,46,3.987464
17.0,17,4.019204
24.0,24,4.063492
11.0,11,4.083097
17.0,17,4.11323
27.0,27,4.163745
13.0,13,4.188588
22.0,22,4.228779
11.0,11,4.250379
26.0,26,4.296971
80.0,80,4.480425
19.0,19,4.514223
16.0,16,4.544251
23.0,23,4.587931
16.0,16,4.618398
13.0,13,4.643412
18.0,18,4.678877
21.0,21,4.716999
15.0,15,4.743801
25.0,25,4.788394
20.0,20,4.826674
12.0,12,4.847919
29.0,29,4.901696
31.0,31,4.958013
34.0,34,5.028797
18.0,18,5.061575
11.0,11,5.081553
15.0,15,5.110048
12.0,12,5.131215
11.0,11,5.151444
10.0,10,5.169626
11.0,11,5.189451
39.0,39,5.262308
21.0,21,5.300042
18.0,18,5.33352
28.0,28,5.385231
10.0,10,5.403289
20.0,20,5.438287
12.0,12,5.460158
11.0,11,5.480021
48.0,48,5.566767
33.0,33,5.628298
21.0,21,5.673419
12.0,12,5.695873
20.0,20,5.732586
28.0,28,5.783983
18.0,18,5.81812
11.0,11,5.838641
23.0,23,5.881409
83.0,83,8.614342
20.0,20,8.654501
16.0,16,8.683026
16.0,16,8.715429
15.0,15,8.744059
32.0,32,8.802027
48.0,48,8.89008
15.0,15,8.917459
20.0,20,8.954945
16.0,16,8.984477
11.0,11,9.004629
48.0,48,9.095636
23.0,23,9.137749
32.0,32,9.195181
20.0,20,9.230351
20.0,20,9.267501
15.0,15,9.295451
16.0,16,9.322613
45.0,45,9.403204
30.0,30,9.457461
15.0,15,9.487308
25.0,25,9.533677
33.0,33,9.595379
22.0,22,9.635303
17.0,17,9.666378
12.0,12,9.689295
26.0,26,9.740352
20.0,20,9.776247
50.0,50,9.868122
25.0,25,9.922523
40.0,40,9.996575
27.0,27,10.044478
24.0,24,10.089447
42.0,42,10.167704
23.0,23,10.209607
13.0,13,10.232456
10.0,10,10.251091
23.0,23,10.292155
28.0,28,10.343421
52.0,52,10.439289
26.0,26,10.48742
49.0,49,10.574653
19.0,19,10.610053
44.0,44,10.692169
36.0,36,10.759538
89.0,89,10.921649
21.0,21,10.958477
17.0,17,10.990148
23.0,23,11.032417
